year,period,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude
2011,February,Ada County,Yes,194834,176217,18617,9.5,No,16001,-116.24203,43.47877
2011,January,Ada County,Yes,194692,176463,18228,9.3,No,16001,-116.24203,43.47877
2011,March,Ada County,Yes,196069,177729,18339,9.3,No,16001,-116.24203,43.47877
2010,December,Ada County,Yes,194376,176409,17966,9.2,No,16001,-116.24203,43.47877
2010,February,Ada County,Yes,195493,177845,17648,9,No,16001,-116.24203,43.47877
2010,March,Ada County,Yes,195951,178297,17653,9,No,16001,-116.24203,43.47877
2011,April,Ada County,Yes,196517,178734,17783,9,No,16001,-116.24203,43.47877
2010,November,Ada County,Yes,194711,177137,17574,9,No,16001,-116.24203,43.47877
2010,April,Ada County,Yes,195424,177993,17431,8.9,No,16001,-116.24203,43.47877
2011,May,Ada County,Yes,196645,179324,17321,8.8,No,16001,-116.24203,43.47877
2010,July,Ada County,Yes,194477,177351,17125,8.8,No,16001,-116.24203,43.47877
2010,August,Ada County,Yes,194442,177234,17207,8.8,No,16001,-116.24203,43.47877
2010,October,Ada County,Yes,194275,177116,17158,8.8,No,16001,-116.24203,43.47877
2009,December,Ada County,Yes,194673,177482,17190,8.8,No,16001,-116.24203,43.47877
2010,May,Ada County,Yes,195218,178080,17138,8.7,No,16001,-116.24203,43.47877
2010,June,Ada County,Yes,194610,177606,17003,8.7,No,16001,-116.24203,43.47877
2010,September,Ada County,Yes,194374,177582,16792,8.6,No,16001,-116.24203,43.47877
2010,January,Ada County,Yes,194701,177958,16742,8.5,No,16001,-116.24203,43.47877
2009,November,Ada County,Yes,194710,177978,16732,8.5,No,16001,-116.24203,43.47877
2011,June,Ada County,Yes,196323,179774,16549,8.4,No,16001,-116.24203,43.47877
2009,October,Ada County,Yes,194216,177993,16223,8.3,No,16001,-116.24203,43.47877
2009,August,Ada County,Yes,193312,177433,15879,8.2,No,16001,-116.24203,43.47877
2009,September,Ada County,Yes,193481,177449,16032,8.2,No,16001,-116.24203,43.47877
2011,July,Ada County,Yes,196110,180345,15764,8,No,16001,-116.24203,43.47877
2009,July,Ada County,Yes,193222,177815,15406,7.9,No,16001,-116.24203,43.47877
2011,August,Ada County,Yes,195979,180353,15626,7.9,No,16001,-116.24203,43.47877
2011,September,Ada County,Yes,195267,180105,15161,7.7,No,16001,-116.24203,43.47877
2009,June,Ada County,Yes,194476,179682,14794,7.6,No,16001,-116.24203,43.47877
2011,October,Ada County,Yes,196423,181389,15034,7.6,No,16001,-116.24203,43.47877
2009,May,Ada County,Yes,194657,179962,14695,7.5,No,16001,-116.24203,43.47877
2009,April,Ada County,Yes,194893,180430,14462,7.4,No,16001,-116.24203,43.47877
2009,March,Ada County,Yes,195326,181483,13842,7,No,16001,-116.24203,43.47877
2009,February,Ada County,Yes,195911,182493,13417,6.8,No,16001,-116.24203,43.47877
2009,January,Ada County,Yes,196768,184067,12701,6.4,No,16001,-116.24203,43.47877
2008,December,Ada County,Yes,195781,183410,12370,6.3,No,16001,-116.24203,43.47877
2008,November,Ada County,Yes,196119,184781,11337,5.7,No,16001,-116.24203,43.47877
2008,October,Ada County,Yes,197027,186376,10651,5.4,No,16001,-116.24203,43.47877
2008,September,Ada County,Yes,197544,187433,10111,5.1,No,16001,-116.24203,43.47877
2003,March,Ada County,Yes,177342,168626,8715,4.9,No,16001,-116.24203,43.47877
2008,August,Ada County,Yes,197990,188407,9582,4.8,No,16001,-116.24203,43.47877
2002,December,Ada County,Yes,175155,166725,8429,4.8,No,16001,-116.24203,43.47877
2003,April,Ada County,Yes,176915,168428,8486,4.7,No,16001,-116.24203,43.47877
2003,May,Ada County,Yes,176452,168092,8359,4.7,No,16001,-116.24203,43.47877
2003,June,Ada County,Yes,175731,167588,8143,4.6,No,16001,-116.24203,43.47877
2003,July,Ada County,Yes,175033,166911,8122,4.6,No,16001,-116.24203,43.47877
2002,September,Ada County,Yes,174953,166858,8094,4.6,No,16001,-116.24203,43.47877
2002,October,Ada County,Yes,174710,166506,8204,4.6,No,16001,-116.24203,43.47877
2002,November,Ada County,Yes,174514,166355,8159,4.6,No,16001,-116.24203,43.47877
2003,February,Ada County,Yes,176813,168725,8088,4.5,No,16001,-116.24203,43.47877
2002,February,Ada County,Yes,175845,167811,8033,4.5,No,16001,-116.24203,43.47877
2002,March,Ada County,Yes,175792,167855,7937,4.5,No,16001,-116.24203,43.47877
2002,April,Ada County,Yes,175033,167149,7884,4.5,No,16001,-116.24203,43.47877
2002,May,Ada County,Yes,175005,167105,7899,4.5,No,16001,-116.24203,43.47877
2008,July,Ada County,Yes,197891,188828,9062,4.5,No,16001,-116.24203,43.47877
2003,August,Ada County,Yes,174798,166796,8002,4.5,No,16001,-116.24203,43.47877
2002,January,Ada County,Yes,175162,167420,7741,4.4,No,16001,-116.24203,43.47877
2003,January,Ada County,Yes,176211,168286,7924,4.4,No,16001,-116.24203,43.47877
2002,June,Ada County,Yes,174745,166945,7800,4.4,No,16001,-116.24203,43.47877
2002,July,Ada County,Yes,174524,166710,7814,4.4,No,16001,-116.24203,43.47877
2002,August,Ada County,Yes,174728,166891,7836,4.4,No,16001,-116.24203,43.47877
2008,June,Ada County,Yes,197787,189244,8542,4.3,No,16001,-116.24203,43.47877
2003,September,Ada County,Yes,175841,168104,7737,4.3,No,16001,-116.24203,43.47877
2001,December,Ada County,Yes,175689,168090,7598,4.3,No,16001,-116.24203,43.47877
2003,October,Ada County,Yes,176163,168750,7413,4.2,No,16001,-116.24203,43.47877
2001,November,Ada County,Yes,175726,168194,7532,4.2,No,16001,-116.24203,43.47877
2001,October,Ada County,Yes,175801,168577,7224,4.1,No,16001,-116.24203,43.47877
2003,November,Ada County,Yes,176824,169510,7313,4.1,No,16001,-116.24203,43.47877
2004,January,Ada County,Yes,175957,168808,7148,4,No,16001,-116.24203,43.47877
2001,September,Ada County,Yes,175348,168266,7081,4,No,16001,-116.24203,43.47877
2003,December,Ada County,Yes,177315,170091,7223,4,No,16001,-116.24203,43.47877
2004,February,Ada County,Yes,175744,168855,6888,3.9,No,16001,-116.24203,43.47877
2004,May,Ada County,Yes,176959,169946,7013,3.9,No,16001,-116.24203,43.47877
2008,May,Ada County,Yes,197974,190151,7823,3.9,No,16001,-116.24203,43.47877
2004,April,Ada County,Yes,176456,169623,6833,3.8,No,16001,-116.24203,43.47877
2004,June,Ada County,Yes,176609,169799,6810,3.8,No,16001,-116.24203,43.47877
2004,July,Ada County,Yes,176874,170118,6755,3.8,No,16001,-116.24203,43.47877
2004,March,Ada County,Yes,175808,169142,6666,3.7,No,16001,-116.24203,43.47877
2004,August,Ada County,Yes,177428,170746,6682,3.7,No,16001,-116.24203,43.47877
2001,August,Ada County,Yes,174882,168253,6628,3.7,No,16001,-116.24203,43.47877
2008,April,Ada County,Yes,198390,191114,7275,3.6,No,16001,-116.24203,43.47877
2001,June,Ada County,Yes,174989,168617,6371,3.6,No,16001,-116.24203,43.47877
2001,July,Ada County,Yes,174517,168067,6450,3.6,No,16001,-116.24203,43.47877
2004,September,Ada County,Yes,177354,170878,6476,3.6,No,16001,-116.24203,43.47877
2004,October,Ada County,Yes,178763,172296,6467,3.6,No,16001,-116.24203,43.47877
2000,January,Ada County,Yes,167870,161872,5998,3.5,No,16001,-116.24203,43.47877
2008,March,Ada County,Yes,196981,190036,6945,3.5,No,16001,-116.24203,43.47877
2000,April,Ada County,Yes,169272,163221,6051,3.5,No,16001,-116.24203,43.47877
2004,November,Ada County,Yes,179748,173453,6295,3.5,No,16001,-116.24203,43.47877
2005,February,Ada County,Yes,182278,176062,6216,3.4,No,16001,-116.24203,43.47877
2000,February,Ada County,Yes,168224,162461,5762,3.4,No,16001,-116.24203,43.47877
2000,March,Ada County,Yes,168865,162998,5867,3.4,No,16001,-116.24203,43.47877
2001,April,Ada County,Yes,175471,169406,6064,3.4,No,16001,-116.24203,43.47877
2000,May,Ada County,Yes,169904,164120,5784,3.4,No,16001,-116.24203,43.47877
2001,May,Ada County,Yes,175041,168946,6094,3.4,No,16001,-116.24203,43.47877
2000,June,Ada County,Yes,169739,163886,5853,3.4,No,16001,-116.24203,43.47877
2004,December,Ada County,Yes,180932,174653,6278,3.4,No,16001,-116.24203,43.47877
2005,January,Ada County,Yes,181182,175027,6155,3.3,No,16001,-116.24203,43.47877
2008,February,Ada County,Yes,196792,190121,6670,3.3,No,16001,-116.24203,43.47877
2005,March,Ada County,Yes,182875,176824,6051,3.3,No,16001,-116.24203,43.47877
1998,July,Ada County,Yes,163603,158193,5410,3.3,No,16001,-116.24203,43.47877
2000,July,Ada County,Yes,170576,164924,5651,3.3,No,16001,-116.24203,43.47877
1998,August,Ada County,Yes,163321,157815,5506,3.3,No,16001,-116.24203,43.47877
2008,January,Ada County,Yes,197203,190846,6356,3.2,No,16001,-116.24203,43.47877
1997,February,Ada County,Yes,153632,148681,4951,3.2,No,16001,-116.24203,43.47877
2001,March,Ada County,Yes,175299,169648,5651,3.2,No,16001,-116.24203,43.47877
2005,April,Ada County,Yes,183252,177377,5875,3.2,No,16001,-116.24203,43.47877
1998,May,Ada County,Yes,162136,156848,5288,3.2,No,16001,-116.24203,43.47877
1998,June,Ada County,Yes,163074,157808,5265,3.2,No,16001,-116.24203,43.47877
2000,August,Ada County,Yes,170535,164936,5599,3.2,No,16001,-116.24203,43.47877
1998,September,Ada County,Yes,164186,158915,5270,3.2,No,16001,-116.24203,43.47877
1999,September,Ada County,Yes,167150,161736,5413,3.2,No,16001,-116.24203,43.47877
2000,October,Ada County,Yes,171951,166338,5612,3.2,No,16001,-116.24203,43.47877
1999,October,Ada County,Yes,167388,162009,5379,3.2,No,16001,-116.24203,43.47877
2000,November,Ada County,Yes,172638,167098,5539,3.2,No,16001,-116.24203,43.47877
2000,December,Ada County,Yes,172864,167316,5548,3.2,No,16001,-116.24203,43.47877
1997,January,Ada County,Yes,152777,148012,4765,3.1,No,16001,-116.24203,43.47877
2001,January,Ada County,Yes,173713,168240,5472,3.1,No,16001,-116.24203,43.47877
1997,March,Ada County,Yes,154111,149310,4801,3.1,No,16001,-116.24203,43.47877
1998,April,Ada County,Yes,161602,156491,5110,3.1,No,16001,-116.24203,43.47877
2005,May,Ada County,Yes,183908,178113,5795,3.1,No,16001,-116.24203,43.47877
1999,July,Ada County,Yes,167135,161891,5243,3.1,No,16001,-116.24203,43.47877
2000,September,Ada County,Yes,171344,165874,5469,3.1,No,16001,-116.24203,43.47877
1998,October,Ada County,Yes,164605,159467,5137,3.1,No,16001,-116.24203,43.47877
1998,November,Ada County,Yes,165052,159862,5189,3.1,No,16001,-116.24203,43.47877
1999,November,Ada County,Yes,168207,162852,5355,3.1,No,16001,-116.24203,43.47877
2007,December,Ada County,Yes,196930,190781,6149,3.1,No,16001,-116.24203,43.47877
1998,December,Ada County,Yes,165389,160184,5204,3.1,No,16001,-116.24203,43.47877
1998,January,Ada County,Yes,159114,154255,4859,3,No,16001,-116.24203,43.47877
1999,January,Ada County,Yes,165200,160179,5020,3,No,16001,-116.24203,43.47877
2001,February,Ada County,Yes,174484,169124,5359,3,No,16001,-116.24203,43.47877
1999,February,Ada County,Yes,165462,160492,4969,3,No,16001,-116.24203,43.47877
1998,February,Ada County,Yes,160263,155372,4891,3,No,16001,-116.24203,43.47877
1998,March,Ada County,Yes,160957,156067,4890,3,No,16001,-116.24203,43.47877
1999,March,Ada County,Yes,165229,160261,4967,3,No,16001,-116.24203,43.47877
1997,April,Ada County,Yes,154779,149990,4789,3,No,16001,-116.24203,43.47877
1999,May,Ada County,Yes,165717,160630,5086,3,No,16001,-116.24203,43.47877
2005,June,Ada County,Yes,184323,178612,5711,3,No,16001,-116.24203,43.47877
1999,June,Ada County,Yes,166405,161315,5090,3,No,16001,-116.24203,43.47877
2005,July,Ada County,Yes,185561,179957,5603,3,No,16001,-116.24203,43.47877
1999,August,Ada County,Yes,167034,161985,5048,3,No,16001,-116.24203,43.47877
1997,November,Ada County,Yes,157131,152322,4808,3,No,16001,-116.24203,43.47877
2007,November,Ada County,Yes,197302,191318,5984,3,No,16001,-116.24203,43.47877
1999,December,Ada County,Yes,168799,163653,5145,3,No,16001,-116.24203,43.47877
1997,December,Ada County,Yes,158306,153519,4786,3,No,16001,-116.24203,43.47877
1999,April,Ada County,Yes,165731,160829,4901,2.9,No,16001,-116.24203,43.47877
1997,May,Ada County,Yes,156020,151476,4544,2.9,No,16001,-116.24203,43.47877
1997,June,Ada County,Yes,156511,151853,4658,2.9,No,16001,-116.24203,43.47877
1997,July,Ada County,Yes,156986,152286,4700,2.9,No,16001,-116.24203,43.47877
2005,August,Ada County,Yes,185969,180432,5536,2.9,No,16001,-116.24203,43.47877
1997,August,Ada County,Yes,156151,151597,4553,2.9,No,16001,-116.24203,43.47877
1997,September,Ada County,Yes,156448,151850,4597,2.9,No,16001,-116.24203,43.47877
2005,September,Ada County,Yes,186613,181197,5415,2.9,No,16001,-116.24203,43.47877
2007,October,Ada County,Yes,196691,190917,5773,2.9,No,16001,-116.24203,43.47877
1997,October,Ada County,Yes,156691,152107,4583,2.9,No,16001,-116.24203,43.47877
2005,October,Ada County,Yes,186612,181295,5316,2.8,No,16001,-116.24203,43.47877
2007,September,Ada County,Yes,196926,191457,5469,2.7,No,16001,-116.24203,43.47877
2005,November,Ada County,Yes,187160,182014,5145,2.7,No,16001,-116.24203,43.47877
2007,August,Ada County,Yes,196698,191466,5231,2.6,No,16001,-116.24203,43.47877
2005,December,Ada County,Yes,187923,182929,4993,2.6,No,16001,-116.24203,43.47877
2006,January,Ada County,Yes,188321,183526,4794,2.5,No,16001,-116.24203,43.47877
2006,February,Ada County,Yes,189109,184362,4746,2.5,No,16001,-116.24203,43.47877
2007,July,Ada County,Yes,196632,191673,4959,2.5,No,16001,-116.24203,43.47877
2006,March,Ada County,Yes,189737,185163,4574,2.4,No,16001,-116.24203,43.47877
2006,May,Ada County,Yes,191730,187030,4700,2.4,No,16001,-116.24203,43.47877
2007,June,Ada County,Yes,195662,190958,4704,2.4,No,16001,-116.24203,43.47877
2006,April,Ada County,Yes,190686,186198,4488,2.3,No,16001,-116.24203,43.47877
2006,June,Ada County,Yes,192219,187634,4584,2.3,No,16001,-116.24203,43.47877
2007,April,Ada County,Yes,195780,191453,4327,2.2,No,16001,-116.24203,43.47877
2007,May,Ada County,Yes,195521,191136,4384,2.2,No,16001,-116.24203,43.47877
2006,July,Ada County,Yes,192731,188321,4410,2.2,No,16001,-116.24203,43.47877
2006,September,Ada County,Yes,193743,189354,4389,2.2,No,16001,-116.24203,43.47877
2006,October,Ada County,Yes,193842,189553,4289,2.2,No,16001,-116.24203,43.47877
2007,January,Ada County,Yes,196519,192391,4127,2.1,No,16001,-116.24203,43.47877
2007,February,Ada County,Yes,196875,192695,4180,2.1,No,16001,-116.24203,43.47877
2007,March,Ada County,Yes,197004,192790,4214,2.1,No,16001,-116.24203,43.47877
2006,August,Ada County,Yes,193174,188931,4242,2.1,No,16001,-116.24203,43.47877
2006,November,Ada County,Yes,194073,190020,4053,2,No,16001,-116.24203,43.47877
2006,December,Ada County,Yes,194582,190561,4020,2,No,16001,-116.24203,43.47877
2010,October,Adams County,Yes,1948,1575,373,19.1,No,16003,-116.49161,44.98826
2010,September,Adams County,Yes,1951,1586,365,18.7,No,16003,-116.49161,44.98826
2011,September,Adams County,Yes,1789,1454,335,18.7,No,16003,-116.49161,44.98826
2010,August,Adams County,Yes,1949,1590,358,18.4,No,16003,-116.49161,44.98826
2011,October,Adams County,Yes,1857,1518,338,18.2,No,16003,-116.49161,44.98826
2010,November,Adams County,Yes,1936,1587,348,17.9,No,16003,-116.49161,44.98826
2010,December,Adams County,Yes,1948,1601,346,17.7,No,16003,-116.49161,44.98826
2010,July,Adams County,Yes,1976,1628,348,17.6,No,16003,-116.49161,44.98826
2010,January,Adams County,Yes,2039,1690,349,17.1,No,16003,-116.49161,44.98826
2010,June,Adams County,Yes,2104,1743,360,17.1,No,16003,-116.49161,44.98826
2011,January,Adams County,Yes,1982,1651,331,16.7,No,16003,-116.49161,44.98826
2011,August,Adams County,Yes,2094,1743,351,16.7,No,16003,-116.49161,44.98826
2003,October,Adams County,Yes,1997,1663,333,16.7,No,16003,-116.49161,44.98826
2009,December,Adams County,Yes,2085,1735,350,16.7,No,16003,-116.49161,44.98826
2011,May,Adams County,Yes,2003,1672,330,16.5,No,16003,-116.49161,44.98826
2011,July,Adams County,Yes,2080,1737,343,16.4,No,16003,-116.49161,44.98826
1997,July,Adams County,Yes,1682,1409,273,16.2,No,16003,-116.49161,44.98826
2011,June,Adams County,Yes,1999,1675,323,16.1,No,16003,-116.49161,44.98826
1998,June,Adams County,Yes,1656,1388,268,16.1,No,16003,-116.49161,44.98826
2010,February,Adams County,Yes,1983,1664,319,16,No,16003,-116.49161,44.98826
2011,February,Adams County,Yes,1957,1649,307,15.7,No,16003,-116.49161,44.98826
1999,April,Adams County,Yes,1603,1353,249,15.5,No,16003,-116.49161,44.98826
1997,June,Adams County,Yes,1680,1418,261,15.5,No,16003,-116.49161,44.98826
2009,July,Adams County,Yes,2078,1755,323,15.5,No,16003,-116.49161,44.98826
1998,May,Adams County,Yes,1657,1401,256,15.4,No,16003,-116.49161,44.98826
2009,November,Adams County,Yes,2134,1803,330,15.4,No,16003,-116.49161,44.98826
2010,March,Adams County,Yes,1987,1681,305,15.3,No,16003,-116.49161,44.98826
2009,October,Adams County,Yes,2141,1812,328,15.3,No,16003,-116.49161,44.98826
2009,August,Adams County,Yes,2138,1812,326,15.2,No,16003,-116.49161,44.98826
1998,August,Adams County,Yes,1678,1423,255,15.2,No,16003,-116.49161,44.98826
1999,January,Adams County,Yes,1678,1423,254,15.1,No,16003,-116.49161,44.98826
2011,April,Adams County,Yes,1992,1690,302,15.1,No,16003,-116.49161,44.98826
1997,April,Adams County,Yes,1675,1421,254,15.1,No,16003,-116.49161,44.98826
1997,September,Adams County,Yes,1653,1403,249,15.1,No,16003,-116.49161,44.98826
2009,September,Adams County,Yes,2136,1813,323,15.1,No,16003,-116.49161,44.98826
1998,July,Adams County,Yes,1621,1378,242,14.9,No,16003,-116.49161,44.98826
1997,August,Adams County,Yes,1652,1405,246,14.9,No,16003,-116.49161,44.98826
1997,January,Adams County,Yes,1670,1421,248,14.8,No,16003,-116.49161,44.98826
1998,September,Adams County,Yes,1673,1425,248,14.8,No,16003,-116.49161,44.98826
1998,November,Adams County,Yes,1685,1434,250,14.8,No,16003,-116.49161,44.98826
1997,February,Adams County,Yes,1664,1419,245,14.7,No,16003,-116.49161,44.98826
1998,March,Adams County,Yes,1633,1393,240,14.7,No,16003,-116.49161,44.98826
2010,April,Adams County,Yes,2099,1789,309,14.7,No,16003,-116.49161,44.98826
1999,May,Adams County,Yes,1589,1354,235,14.7,No,16003,-116.49161,44.98826
2010,May,Adams County,Yes,2105,1794,311,14.7,No,16003,-116.49161,44.98826
1997,October,Adams County,Yes,1673,1427,246,14.7,No,16003,-116.49161,44.98826
1998,April,Adams County,Yes,1642,1401,241,14.6,No,16003,-116.49161,44.98826
2011,March,Adams County,Yes,2067,1766,301,14.5,No,16003,-116.49161,44.98826
1998,December,Adams County,Yes,1619,1384,235,14.5,No,16003,-116.49161,44.98826
1999,June,Adams County,Yes,1597,1366,230,14.4,No,16003,-116.49161,44.98826
2004,January,Adams County,Yes,1864,1597,266,14.3,No,16003,-116.49161,44.98826
1999,March,Adams County,Yes,1616,1384,232,14.3,No,16003,-116.49161,44.98826
1997,November,Adams County,Yes,1652,1414,237,14.3,No,16003,-116.49161,44.98826
1999,November,Adams County,Yes,1635,1400,234,14.3,No,16003,-116.49161,44.98826
2009,June,Adams County,Yes,2032,1742,290,14.2,No,16003,-116.49161,44.98826
1999,October,Adams County,Yes,1574,1351,223,14.1,No,16003,-116.49161,44.98826
1997,March,Adams County,Yes,1693,1455,238,14,No,16003,-116.49161,44.98826
2003,December,Adams County,Yes,1884,1618,265,14,No,16003,-116.49161,44.98826
1998,February,Adams County,Yes,1673,1439,234,13.9,No,16003,-116.49161,44.98826
1998,October,Adams County,Yes,1689,1454,235,13.9,No,16003,-116.49161,44.98826
2003,November,Adams County,Yes,1906,1640,265,13.9,No,16003,-116.49161,44.98826
1999,September,Adams County,Yes,1586,1367,218,13.7,No,16003,-116.49161,44.98826
1999,February,Adams County,Yes,1645,1419,225,13.6,No,16003,-116.49161,44.98826
2009,May,Adams County,Yes,2008,1733,274,13.6,No,16003,-116.49161,44.98826
1998,January,Adams County,Yes,1668,1442,226,13.5,No,16003,-116.49161,44.98826
1997,May,Adams County,Yes,1666,1441,225,13.5,No,16003,-116.49161,44.98826
1999,July,Adams County,Yes,1585,1370,214,13.5,No,16003,-116.49161,44.98826
1997,December,Adams County,Yes,1659,1435,224,13.5,No,16003,-116.49161,44.98826
2009,February,Adams County,Yes,2069,1799,269,13,No,16003,-116.49161,44.98826
1999,August,Adams County,Yes,1564,1361,203,12.9,No,16003,-116.49161,44.98826
2009,January,Adams County,Yes,2088,1820,267,12.8,No,16003,-116.49161,44.98826
1999,December,Adams County,Yes,1626,1418,208,12.8,No,16003,-116.49161,44.98826
2002,December,Adams County,Yes,1879,1640,238,12.7,No,16003,-116.49161,44.98826
2004,February,Adams County,Yes,1856,1624,231,12.4,No,16003,-116.49161,44.98826
2004,March,Adams County,Yes,1838,1609,229,12.4,No,16003,-116.49161,44.98826
2008,November,Adams County,Yes,1947,1704,242,12.4,No,16003,-116.49161,44.98826
2009,March,Adams County,Yes,2063,1809,254,12.3,No,16003,-116.49161,44.98826
2009,April,Adams County,Yes,2035,1786,249,12.2,No,16003,-116.49161,44.98826
2002,August,Adams County,Yes,1872,1642,229,12.2,No,16003,-116.49161,44.98826
2001,February,Adams County,Yes,1962,1725,236,12,No,16003,-116.49161,44.98826
2008,December,Adams County,Yes,1900,1671,229,12,No,16003,-116.49161,44.98826
2002,April,Adams County,Yes,1798,1586,212,11.8,No,16003,-116.49161,44.98826
2003,January,Adams County,Yes,1791,1581,210,11.7,No,16003,-116.49161,44.98826
2002,May,Adams County,Yes,1809,1597,211,11.7,No,16003,-116.49161,44.98826
2004,April,Adams County,Yes,1830,1616,213,11.6,No,16003,-116.49161,44.98826
2002,November,Adams County,Yes,1863,1648,214,11.5,No,16003,-116.49161,44.98826
2002,June,Adams County,Yes,1832,1623,209,11.4,No,16003,-116.49161,44.98826
2002,September,Adams County,Yes,1878,1662,215,11.4,No,16003,-116.49161,44.98826
2001,December,Adams County,Yes,1854,1644,209,11.3,No,16003,-116.49161,44.98826
2004,June,Adams County,Yes,1860,1651,209,11.2,No,16003,-116.49161,44.98826
2001,June,Adams County,Yes,1896,1682,213,11.2,No,16003,-116.49161,44.98826
2002,October,Adams County,Yes,1864,1655,209,11.2,No,16003,-116.49161,44.98826
2001,November,Adams County,Yes,1906,1692,214,11.2,No,16003,-116.49161,44.98826
2002,January,Adams County,Yes,1846,1640,205,11.1,No,16003,-116.49161,44.98826
2002,February,Adams County,Yes,1863,1655,208,11.1,No,16003,-116.49161,44.98826
2000,February,Adams County,Yes,1880,1670,209,11.1,No,16003,-116.49161,44.98826
2002,March,Adams County,Yes,1856,1649,206,11.1,No,16003,-116.49161,44.98826
2002,July,Adams County,Yes,1886,1676,210,11.1,No,16003,-116.49161,44.98826
2003,July,Adams County,Yes,1836,1631,205,11.1,No,16003,-116.49161,44.98826
2000,March,Adams County,Yes,1884,1675,209,11,No,16003,-116.49161,44.98826
2003,June,Adams County,Yes,1862,1656,206,11,No,16003,-116.49161,44.98826
2003,February,Adams County,Yes,1794,1597,196,10.9,No,16003,-116.49161,44.98826
2003,May,Adams County,Yes,1822,1625,197,10.8,No,16003,-116.49161,44.98826
2003,August,Adams County,Yes,1866,1665,201,10.8,No,16003,-116.49161,44.98826
2001,March,Adams County,Yes,1996,1782,213,10.7,No,16003,-116.49161,44.98826
2001,May,Adams County,Yes,1953,1743,210,10.7,No,16003,-116.49161,44.98826
2004,July,Adams County,Yes,1857,1656,200,10.7,No,16003,-116.49161,44.98826
2000,May,Adams County,Yes,1932,1727,205,10.6,No,16003,-116.49161,44.98826
2001,July,Adams County,Yes,1954,1746,207,10.6,No,16003,-116.49161,44.98826
2001,October,Adams County,Yes,1920,1715,204,10.6,No,16003,-116.49161,44.98826
2001,January,Adams County,Yes,1969,1760,208,10.5,No,16003,-116.49161,44.98826
2008,June,Adams County,Yes,1854,1659,195,10.5,No,16003,-116.49161,44.98826
2004,August,Adams County,Yes,1863,1665,197,10.5,No,16003,-116.49161,44.98826
2001,September,Adams County,Yes,1927,1724,203,10.5,No,16003,-116.49161,44.98826
2003,March,Adams County,Yes,1782,1595,186,10.4,No,16003,-116.49161,44.98826
2001,April,Adams County,Yes,1995,1787,207,10.4,No,16003,-116.49161,44.98826
2003,September,Adams County,Yes,1851,1658,192,10.4,No,16003,-116.49161,44.98826
2008,October,Adams County,Yes,1895,1697,197,10.4,No,16003,-116.49161,44.98826
2004,November,Adams County,Yes,1791,1607,184,10.3,No,16003,-116.49161,44.98826
2000,January,Adams County,Yes,1890,1697,193,10.2,No,16003,-116.49161,44.98826
2004,May,Adams County,Yes,1832,1644,188,10.2,No,16003,-116.49161,44.98826
2008,September,Adams County,Yes,1901,1707,194,10.2,No,16003,-116.49161,44.98826
2004,October,Adams County,Yes,1839,1651,187,10.2,No,16003,-116.49161,44.98826
2001,August,Adams County,Yes,1906,1712,193,10.1,No,16003,-116.49161,44.98826
2008,August,Adams County,Yes,1921,1727,193,10,No,16003,-116.49161,44.98826
2004,September,Adams County,Yes,1868,1682,186,10,No,16003,-116.49161,44.98826
2008,April,Adams County,Yes,1871,1684,186,9.9,No,16003,-116.49161,44.98826
2000,July,Adams County,Yes,1928,1735,192,9.9,No,16003,-116.49161,44.98826
2003,April,Adams County,Yes,1797,1620,176,9.8,No,16003,-116.49161,44.98826
2008,May,Adams County,Yes,1905,1717,188,9.8,No,16003,-116.49161,44.98826
2000,August,Adams County,Yes,1915,1726,189,9.8,No,16003,-116.49161,44.98826
2000,December,Adams County,Yes,1924,1734,189,9.8,No,16003,-116.49161,44.98826
2000,November,Adams County,Yes,1856,1675,181,9.7,No,16003,-116.49161,44.98826
2000,September,Adams County,Yes,1923,1738,185,9.6,No,16003,-116.49161,44.98826
2000,October,Adams County,Yes,1901,1718,182,9.6,No,16003,-116.49161,44.98826
2000,April,Adams County,Yes,1968,1781,187,9.5,No,16003,-116.49161,44.98826
2008,July,Adams County,Yes,1921,1745,175,9.1,No,16003,-116.49161,44.98826
2004,December,Adams County,Yes,1743,1589,153,8.8,No,16003,-116.49161,44.98826
2008,March,Adams County,Yes,1977,1805,172,8.7,No,16003,-116.49161,44.98826
2000,June,Adams County,Yes,1997,1822,174,8.7,No,16003,-116.49161,44.98826
2005,January,Adams County,Yes,1827,1674,152,8.3,No,16003,-116.49161,44.98826
2005,April,Adams County,Yes,1848,1694,153,8.3,No,16003,-116.49161,44.98826
2005,March,Adams County,Yes,1847,1697,150,8.1,No,16003,-116.49161,44.98826
2008,February,Adams County,Yes,1981,1823,158,8,No,16003,-116.49161,44.98826
2005,February,Adams County,Yes,1842,1701,141,7.7,No,16003,-116.49161,44.98826
2005,August,Adams County,Yes,1905,1759,145,7.6,No,16003,-116.49161,44.98826
2005,May,Adams County,Yes,1878,1736,141,7.5,No,16003,-116.49161,44.98826
2005,July,Adams County,Yes,1900,1758,141,7.4,No,16003,-116.49161,44.98826
2005,December,Adams County,Yes,1863,1727,136,7.3,No,16003,-116.49161,44.98826
2007,December,Adams County,Yes,2031,1883,147,7.2,No,16003,-116.49161,44.98826
2005,September,Adams County,Yes,1898,1762,136,7.1,No,16003,-116.49161,44.98826
