year,month,areaname,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary
2007,January,Bingham County,No,21050,20257,793,3.7,No
2007,January,Bingham County,Yes,21525,20970,554,2.5,No
2008,January,Bingham County,No,21542,20754,788,3.6,No
2008,January,Bingham County,Yes,22061,21468,593,2.6,No
2009,January,Bingham County,No,20914,19689,1225,5.8,No
2009,January,Bingham County,Yes,21469,20440,1029,4.7,No
2010,January,Bingham County,No,22459,20742,1717,7.6,No
2010,January,Bingham County,Yes,23039,21535,1504,6.5,No
2010,January,Bingham County,Yes,23102,21495,1607,6.9,No
2011,January,Bingham County,No,22581,20663,1918,8.4,No
2011,January,Bingham County,Yes,22963,21414,1548,6.7,No
2012,January,Bannock County,No,40485,37042,3443,8.5,No
2012,January,Bannock County,Yes,40796,37541,3254,7.9,No
2012,January,Bear Lake County,No,3231,3046,185,5.7,No
2012,January,Bear Lake County,Yes,3357,3199,158,4.7,No
2012,January,Benewah County,No,4206,3615,591,14,No
2012,January,Benewah County,Yes,4198,3641,557,13.2,No
2012,January,Bingham County,No,22917,21124,1793,7.8,No
2012,January,Bingham County,Yes,23520,21892,1627,6.9,No
2005,January,Blaine County,No,13771,13306,465,3.3,No
2005,January,Blaine County,Yes,13744,13359,384,2.7,No
2006,January,Blaine County,No,14201,13782,419,2.9,No
2006,January,Blaine County,Yes,14159,13827,331,2.3,No
2007,January,Blaine County,No,13744,13341,403,2.9,No
2007,January,Blaine County,Yes,13670,13381,288,2.1,No
2008,January,Blaine County,No,13916,13457,459,3.2,No
2008,January,Blaine County,Yes,13814,13463,351,2.5,No
2009,January,Blaine County,No,13888,12973,915,6.5,No
2009,January,Blaine County,Yes,13802,13005,797,5.7,No
2010,January,Blaine County,No,12859,11684,1175,9.1,No
2010,January,Blaine County,Yes,12811,11694,1116,8.7,No
2010,January,Blaine County,Yes,12654,11529,1124,8.8,No
2011,January,Blaine County,No,12659,11394,1265,9.9,No
2011,January,Blaine County,Yes,12491,11383,1107,8.8,No
2005,January,Boise County,No,3594,3374,220,6.1,No
2005,January,Boise County,Yes,3577,3412,164,4.5,No
2006,January,Boise County,No,3629,3446,183,5,No
2006,January,Boise County,Yes,3634,3500,133,3.6,No
2007,January,Boise County,No,3604,3442,162,4.4,No
2007,January,Boise County,Yes,3609,3502,107,2.9,No
2008,January,Boise County,No,3529,3323,206,5.8,No
2008,January,Boise County,Yes,3514,3373,141,4,No
2009,January,Boise County,No,3437,3142,295,8.5,No
2009,January,Boise County,Yes,3416,3195,220,6.4,No
2010,January,Boise County,No,3239,2834,405,12.5,No
2010,January,Boise County,Yes,3193,2877,316,9.8,No
2010,January,Boise County,Yes,3192,2883,309,9.6,No
2011,January,Boise County,No,3281,2878,403,12.2,No
2011,January,Boise County,Yes,3207,2917,289,9,No
2005,January,Bonner County,No,20053,18694,1359,6.7,No
2005,January,Bonner County,Yes,20030,18993,1036,5.1,No
2006,January,Bonner County,No,20180,18931,1249,6.1,No
2006,January,Bonner County,Yes,20149,19234,915,4.5,No
2007,January,Bonner County,No,20578,19526,1052,5.1,No
2007,January,Bonner County,Yes,20531,19826,704,3.4,No
2008,January,Bonner County,No,20939,19677,1262,6,No
2008,January,Bonner County,Yes,20851,19931,919,4.4,No
2009,January,Bonner County,No,20669,18503,2166,10.4,No
2009,January,Bonner County,Yes,20533,18806,1727,8.4,No
2010,January,Bonner County,No,20604,17862,2742,13.3,No
2010,January,Bonner County,Yes,20400,18136,2263,11,No
2010,January,Bonner County,Yes,20373,17903,2470,12.1,No
2011,January,Bonner County,No,20091,17208,2883,14.3,No
2011,January,Bonner County,Yes,19634,17440,2193,11.1,No
2005,January,Bonneville County,No,47498,45585,1913,4,No
2005,January,Bonneville County,Yes,48009,46503,1506,3.1,No
2006,January,Bonneville County,No,48696,47103,1593,3.2,No
2006,January,Bonneville County,Yes,49360,48106,1253,2.5,No
2007,January,Bonneville County,No,48855,47460,1395,2.8,No
2007,January,Bonneville County,Yes,49606,48501,1105,2.2,No
2008,January,Bonneville County,No,49772,48218,1554,3.1,No
2008,January,Bonneville County,Yes,50532,49285,1246,2.4,No
2009,January,Bonneville County,No,49226,46529,2697,5.4,No
2009,January,Bonneville County,Yes,49754,47563,2190,4.4,No
2010,January,Bonneville County,No,49942,46304,3638,7.2,No
2010,January,Bonneville County,Yes,50654,47425,3228,6.3,No
2010,January,Bonneville County,Yes,50734,47365,3369,6.6,No
2011,January,Bonneville County,No,50754,46729,4025,7.9,No
2011,January,Bonneville County,Yes,51066,47774,3292,6.4,No
2012,January,Blaine County,No,12635,11512,1123,8.8,No
2012,January,Blaine County,Yes,12607,11501,1106,8.7,No
2012,January,Boise County,No,3318,2923,395,11.9,No
2012,January,Boise County,Yes,3282,2962,319,9.7,No
2012,January,Bonner County,No,19821,17344,2477,12.4,No
2012,January,Bonner County,Yes,19698,17578,2119,10.7,No
2012,January,Bonneville County,No,51842,47964,3878,7.4,No
2012,January,Bonneville County,Yes,52603,49036,3566,6.7,No
2005,January,Boundary County,No,4216,3832,384,9.1,No
2005,January,Boundary County,Yes,4324,4039,284,6.5,No
2006,January,Boundary County,No,4086,3650,436,10.6,No
2006,January,Boundary County,Yes,4161,3843,318,7.6,No
2007,January,Boundary County,No,4303,3936,367,8.5,No
2007,January,Boundary County,Yes,4403,4138,265,6,No
2008,January,Boundary County,No,4444,4009,435,9.7,No
2008,January,Boundary County,Yes,4512,4197,315,6.9,No
2009,January,Boundary County,No,4247,3707,540,12.7,No
2009,January,Boundary County,Yes,4244,3851,393,9.2,No
2010,January,Boundary County,No,4636,3795,841,18.1,No
2010,January,Boundary County,Yes,4601,3933,668,14.5,No
2010,January,Boundary County,Yes,4770,4069,700,14.6,No
