year,month,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude,id
2011,April,Kootenai County,No,72400,64080,8320,11.4,No,16055,-116.62221,47.75684,2011-April-Kootenai County
2011,April,Kootenai County,Yes,72888,64749,8139,11.1,No,16055,-116.62221,47.75684,2011-April-Kootenai County
2011,April,Latah County,No,18377,16815,1562,8.4,No,16057,-116.67642,46.73604,2011-April-Latah County
2011,April,Latah County,Yes,17860,16465,1395,7.8,No,16057,-116.67642,46.73604,2011-April-Latah County
2011,April,Lemhi County,No,3567,3114,453,12.6,No,16059,-113.92306,45.03646,2011-April-Lemhi County
2011,April,Lemhi County,Yes,3679,3246,433,11.7,No,16059,-113.92306,45.03646,2011-April-Lemhi County
2011,April,Lewis County,No,1744,1611,133,7.6,No,16061,-116.40541,46.26648,2011-April-Lewis County
2011,April,Lewis County,Yes,1750,1622,128,7.3,No,16061,-116.40541,46.26648,2011-April-Lewis County
2011,April,Lincoln County,No,2598,2216,382,14.7,No,16063,-114.16944,43.04964,2011-April-Lincoln County
2011,April,Lincoln County,Yes,2616,2276,339,12.9,No,16063,-114.16944,43.04964,2011-April-Lincoln County
2011,April,Madison County,Yes,17161,15751,1409,8.2,No,16065,-111.55837,43.75083,2011-April-Madison County
2011,April,Madison County,No,17155,15764,1391,8.1,No,16065,-111.55837,43.75083,2011-April-Madison County
2011,April,Minidoka County,No,10426,9629,797,7.6,No,16067,-113.58081,42.841,2011-April-Minidoka County
2011,April,Minidoka County,Yes,10705,9898,807,7.5,No,16067,-113.58081,42.841,2011-April-Minidoka County
2011,April,Nez Perce County,No,18769,17334,1435,7.6,No,16069,-116.62288,46.41818,2011-April-Nez Perce County
2011,April,Nez Perce County,Yes,18660,17230,1429,7.6,No,16069,-116.62288,46.41818,2011-April-Nez Perce County
2011,April,Oneida County,Yes,2297,2172,125,5.4,No,16071,-112.52451,42.20598,2011-April-Oneida County
2011,April,Oneida County,No,2266,2145,121,5.3,No,16071,-112.52451,42.20598,2011-April-Oneida County
2011,April,Owyhee County,Yes,4385,4135,249,5.6,No,16073,-116.06229,42.68274,2011-April-Owyhee County
2011,April,Owyhee County,No,4367,4128,239,5.4,No,16073,-116.06229,42.68274,2011-April-Owyhee County
2011,April,Payette County,No,10975,9831,1144,10.4,No,16075,-116.72054,44.02052,2011-April-Payette County
2011,April,Payette County,Yes,11018,9882,1136,10.3,No,16075,-116.72054,44.02052,2011-April-Payette County
2011,April,Pocatello,No,27927,25531,2396,8.5,No,,,,2011-April-Pocatello
2011,April,Pocatello,Yes,27807,25442,2365,8.5,No,,,,2011-April-Pocatello
2011,April,Power County,Yes,3607,3214,392,10.8,No,16077,-112.76845,42.75285,2011-April-Power County
2011,April,Power County,No,3510,3218,292,8.3,No,16077,-112.76845,42.75285,2011-April-Power County
2011,April,Shoshone County,No,5173,4203,970,18.7,No,16079,-115.91047,47.17469,2011-April-Shoshone County
2011,April,Shoshone County,Yes,5405,4562,843,15.6,No,16079,-115.91047,47.17469,2011-April-Shoshone County
2011,April,Teton County,No,5333,4979,354,6.6,No,16081,-111.19176,43.78458,2011-April-Teton County
2011,April,Teton County,Yes,5484,5141,342,6.2,No,16081,-111.19176,43.78458,2011-April-Teton County
2011,April,Twin Falls,Yes,21853,19928,1924,8.8,No,,,,2011-April-Twin Falls
2011,April,Twin Falls,No,21716,19864,1852,8.5,No,,,,2011-April-Twin Falls
2011,April,Twin Falls County,Yes,39227,35736,3491,8.8,No,16083,-114.67589,42.33525,2011-April-Twin Falls County
2011,April,Twin Falls County,No,38839,35533,3306,8.5,No,16083,-114.67589,42.33525,2011-April-Twin Falls County
2011,April,United States,Yes,153421000,139674000,13747000,9,No,,,,2011-April-United States
2011,April,United States,No,152898000,139661000,13237000,8.7,No,,,,2011-April-United States
2011,April,Valley County,No,4124,3213,911,22,No,16085,-115.79264,44.92047,2011-April-Valley County
2011,April,Valley County,Yes,4259,3565,694,16.2,No,16085,-115.79264,44.92047,2011-April-Valley County
2011,April,Washington County,No,4771,4241,530,11.1,No,16087,-116.75486,44.36587,2011-April-Washington County
2011,April,Washington County,Yes,4801,4277,524,10.9,No,16087,-116.75486,44.36587,2011-April-Washington County
2011,August,Ada County,No,196766,181002,15764,8,No,16001,-116.24203,43.47877,2011-August-Ada County
2011,August,Ada County,Yes,195979,180353,15626,7.9,No,16001,-116.24203,43.47877,2011-August-Ada County
2011,August,Adams County,Yes,2094,1743,351,16.7,No,16003,-116.49161,44.98826,2011-August-Adams County
2011,August,Adams County,No,2129,1862,267,12.5,No,16003,-116.49161,44.98826,2011-August-Adams County
2011,August,Bannock County,No,39238,35956,3282,8.3,No,16005,-112.14302,42.58364,2011-August-Bannock County
2011,August,Bannock County,Yes,39710,36402,3307,8.3,No,16005,-112.14302,42.58364,2011-August-Bannock County
2011,August,Bear Lake County,Yes,3355,3164,191,5.7,No,16007,-111.2845,42.22822,2011-August-Bear Lake County
2011,August,Bear Lake County,No,3442,3277,165,4.7,No,16007,-111.2845,42.22822,2011-August-Bear Lake County
2011,August,Benewah County,Yes,4267,3659,607,14.2,No,16009,-116.64994,47.24378,2011-August-Benewah County
2011,August,Benewah County,No,4246,3764,482,11.3,No,16009,-116.64994,47.24378,2011-August-Benewah County
2011,August,Bingham County,No,23509,21560,1949,8.2,No,16011,-112.36241,43.21123,2011-August-Bingham County
2011,August,Bingham County,Yes,23219,21489,1730,7.4,No,16011,-112.36241,43.21123,2011-August-Bingham County
2011,August,Blaine County,Yes,12571,11482,1089,8.6,No,16013,-113.96644,43.47434,2011-August-Blaine County
2011,August,Blaine County,No,13114,12115,999,7.6,No,16013,-113.96644,43.47434,2011-August-Blaine County
2011,August,Boise City,Yes,108698,100108,8590,7.9,No,,,,2011-August-Boise City
2011,August,Boise City,No,108855,100268,8587,7.8,No,,,,2011-August-Boise City
2011,August,Boise County,Yes,3424,3095,328,9.5,No,16015,-115.85631,43.96048,2011-August-Boise County
2011,August,Boise County,No,3349,3116,233,6.9,No,16015,-115.85631,43.96048,2011-August-Boise County
2011,August,Bonner County,Yes,19873,17069,2804,14.1,No,16017,-116.59315,48.27518,2011-August-Bonner County
2011,August,Bonner County,No,20134,17872,2262,11.2,No,16017,-116.59315,48.27518,2011-August-Bonner County
2011,August,Bonneville County,Yes,50043,46411,3631,7.2,No,16019,-111.54553,43.45087,2011-August-Bonneville County
2011,August,Bonneville County,No,50555,46987,3568,7,No,16019,-111.54553,43.45087,2011-August-Bonneville County
2011,August,Boundary County,Yes,5006,4233,772,15.4,No,16021,-116.56271,48.79876,2011-August-Boundary County
