year,month,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude,id
2011,August,Bonneville County,Yes,50043,46411,3631,7.2,No,16019,-111.54553,43.45087,2011-August-Bonneville County
2011,August,Boundary County,Yes,5006,4233,772,15.4,No,16021,-116.56271,48.79876,2011-August-Boundary County
2011,August,Butte County,Yes,1491,1381,110,7.3,No,16023,-113.18414,43.64482,2011-August-Butte County
2011,August,Caldwell,Yes,19925,17223,2701,13.5,No,,,,2011-August-Caldwell
2011,August,Camas County,Yes,601,501,100,16.7,No,16025,-114.82437,43.50937,2011-August-Camas County
2011,August,Canyon County,Yes,86502,76257,10245,11.8,No,16027,-116.68654,43.67796,2011-August-Canyon County
2011,August,Caribou County,Yes,3882,3571,311,8,No,16029,-111.66607,42.75387,2011-August-Caribou County
2011,August,Cassia County,Yes,11271,10499,772,6.8,No,16031,-113.57285,42.35804,2011-August-Cassia County
2011,August,Clark County,Yes,540,485,54,10.1,No,16033,-112.37555,44.19756,2011-August-Clark County
2011,August,Clearwater County,Yes,3223,2695,527,16.3,No,16035,-115.56204,46.67757,2011-August-Clearwater County
2011,August,Coeur D 'Alene,Yes,22216,19692,2523,11.3,No,,,,2011-August-Coeur D 'Alene
2011,August,Custer County,Yes,2463,2260,202,8.2,No,16037,-114.26143,44.33319,2011-August-Custer County
2011,August,Elmore County,Yes,11334,10248,1086,9.5,No,16039,-115.52645,43.11543,2011-August-Elmore County
2011,August,Franklin County,Yes,6161,5790,371,6,No,16041,-111.76147,42.21003,2011-August-Franklin County
2011,August,Fremont County,Yes,5483,4996,487,8.8,No,16043,-111.479,44.22427,2011-August-Fremont County
2011,August,Gem County,Yes,7064,6203,860,12.1,No,16045,-116.35892,44.03249,2011-August-Gem County
2011,August,Gooding County,Yes,9050,8413,636,7,No,16047,-114.74943,42.91806,2011-August-Gooding County
2011,August,Grangeville Slma,Yes,9062,8075,986,10.8,No,,,,2011-August-Grangeville Slma
2011,August,Hailey Slma,Yes,13173,11983,1190,9,No,,,,2011-August-Hailey Slma
2011,August,Idaho,Yes,758856,688858,69998,9.2,No,,,,2011-August-Idaho
2011,August,Idaho County,Yes,7307,6430,877,12,No,16049,-115.72374,45.90195,2011-August-Idaho County
2011,August,Jefferson County,Yes,11416,10598,817,7.1,No,16051,-112.24937,43.76409,2011-August-Jefferson County
2011,August,Jerome County,Yes,10455,9636,819,7.8,No,16053,-114.32879,42.71282,2011-August-Jerome County
2011,August,Kootenai County,Yes,69743,61579,8164,11.7,No,16055,-116.62221,47.75684,2011-August-Kootenai County
2011,August,Latah County,Yes,17401,15956,1445,8.3,No,16057,-116.67642,46.73604,2011-August-Latah County
2011,August,Lemhi County,Yes,3640,3228,411,11.3,No,16059,-113.92306,45.03646,2011-August-Lemhi County
2011,August,Lewis County,Yes,1754,1645,109,6.2,No,16061,-116.40541,46.26648,2011-August-Lewis County
2011,August,Lincoln County,Yes,2589,2227,361,13.9,No,16063,-114.16944,43.04964,2011-August-Lincoln County
2011,August,Madison County,Yes,16406,14987,1419,8.6,No,16065,-111.55837,43.75083,2011-August-Madison County
2011,August,Minidoka County,Yes,10377,9644,732,7,No,16067,-113.58081,42.841,2011-August-Minidoka County
2011,August,Nez Perce County,Yes,18490,17133,1356,7.3,No,16069,-116.62288,46.41818,2011-August-Nez Perce County
2011,August,Oneida County,Yes,2305,2176,128,5.5,No,16071,-112.52451,42.20598,2011-August-Oneida County
2011,August,Owyhee County,Yes,4393,4162,231,5.2,No,16073,-116.06229,42.68274,2011-August-Owyhee County
2011,August,Payette County,Yes,10994,9945,1048,9.5,No,16075,-116.72054,44.02052,2011-August-Payette County
2011,August,Pocatello,Yes,27862,25655,2206,7.9,No,,,,2011-August-Pocatello
2011,August,Power County,Yes,3406,3175,231,6.8,No,16077,-112.76845,42.75285,2011-August-Power County
2011,August,Shoshone County,Yes,6061,5093,967,15.9,No,16079,-115.91047,47.17469,2011-August-Shoshone County
2011,August,Teton County,Yes,5254,4836,418,7.9,No,16081,-111.19176,43.78458,2011-August-Teton County
2011,August,Twin Falls,Yes,21917,20232,1685,7.6,No,,,,2011-August-Twin Falls
2011,August,Twin Falls County,Yes,39027,36031,2996,7.6,No,16083,-114.67589,42.33525,2011-August-Twin Falls County
2011,August,United States,Yes,153594000,139627000,13967000,9.1,No,,,,2011-August-United States
2011,August,Valley County,Yes,4401,3678,722,16.4,No,16085,-115.79264,44.92047,2011-August-Valley County
2011,August,Washington County,Yes,4807,4278,529,11,No,16087,-116.75486,44.36587,2011-August-Washington County
2011,February,Ada County,Yes,194834,176217,18617,9.5,No,16001,-116.24203,43.47877,2011-February-Ada County
2011,February,Adams County,Yes,1957,1649,307,15.7,No,16003,-116.49161,44.98826,2011-February-Adams County
2011,February,Bannock County,Yes,40433,36817,3616,8.9,No,16005,-112.14302,42.58364,2011-February-Bannock County
2011,February,Bear Lake County,Yes,3217,3003,213,6.6,No,16007,-111.2845,42.22822,2011-February-Bear Lake County
2011,February,Benewah County,Yes,4186,3616,570,13.6,No,16009,-116.64994,47.24378,2011-February-Benewah County
2011,February,Bingham County,Yes,23229,21487,1741,7.4,No,16011,-112.36241,43.21123,2011-February-Bingham County
2011,February,Blaine County,Yes,12356,10991,1365,11,No,16013,-113.96644,43.47434,2011-February-Blaine County
2011,February,Boise City,Yes,107470,98092,9378,8.7,No,,,,2011-February-Boise City
2011,February,Boise County,Yes,3407,3057,349,10.2,No,16015,-115.85631,43.96048,2011-February-Boise County
2011,February,Bonner County,Yes,19864,17303,2560,12.8,No,16017,-116.59315,48.27518,2011-February-Bonner County
2011,February,Bonneville County,Yes,51068,47203,3864,7.5,No,16019,-111.54553,43.45087,2011-February-Bonneville County
2011,February,Boundary County,Yes,4626,3912,714,15.4,No,16021,-116.56271,48.79876,2011-February-Boundary County
2011,February,Butte County,Yes,1504,1400,104,6.9,No,16023,-113.18414,43.64482,2011-February-Butte County
2011,February,Caldwell,Yes,19195,16798,2397,12.4,No,,,,2011-February-Caldwell
2011,February,Camas County,Yes,537,482,54,10.2,No,16025,-114.82437,43.50937,2011-February-Camas County
2011,February,Canyon County,Yes,84815,74466,10349,12.2,No,16027,-116.68654,43.67796,2011-February-Canyon County
2011,February,Caribou County,Yes,3957,3614,343,8.6,No,16029,-111.66607,42.75387,2011-February-Caribou County
2011,February,Cassia County,Yes,11096,10280,816,7.3,No,16031,-113.57285,42.35804,2011-February-Cassia County
2011,February,Clark County,Yes,545,497,47,8.6,No,16033,-112.37555,44.19756,2011-February-Clark County
2011,February,Clearwater County,Yes,3274,2797,476,14.5,No,16035,-115.56204,46.67757,2011-February-Clearwater County
2011,February,Custer County,Yes,2514,2331,183,7.2,No,16037,-114.26143,44.33319,2011-February-Custer County
2011,February,Elmore County,Yes,11386,10254,1132,9.9,No,16039,-115.52645,43.11543,2011-February-Elmore County
2011,February,Franklin County,Yes,5983,5556,426,7.1,No,16041,-111.76147,42.21003,2011-February-Franklin County
2011,February,Fremont County,Yes,5725,5191,534,9.3,No,16043,-111.479,44.22427,2011-February-Fremont County
2011,February,Gem County,Yes,6950,6115,834,12,No,16045,-116.35892,44.03249,2011-February-Gem County
2011,February,Gooding County,Yes,8952,8381,571,6.3,No,16047,-114.74943,42.91806,2011-February-Gooding County
2011,February,Idaho,Yes,760710,686680,74030,9.7,No,,,,2011-February-Idaho
2011,February,Idaho County,Yes,7260,6337,923,12.7,No,16049,-115.72374,45.90195,2011-February-Idaho County
2011,February,Jefferson County,Yes,11629,10734,895,7.6,No,16051,-112.24937,43.76409,2011-February-Jefferson County
2011,February,Jerome County,Yes,10298,9399,899,8.7,No,16053,-114.32879,42.71282,2011-February-Jerome County
2011,February,Kootenai County,Yes,73213,65376,7837,10.7,No,16055,-116.62221,47.75684,2011-February-Kootenai County
2011,February,Latah County,Yes,17587,16225,1362,7.7,No,16057,-116.67642,46.73604,2011-February-Latah County
2011,February,Lemhi County,Yes,3792,3357,435,11.4,No,16059,-113.92306,45.03646,2011-February-Lemhi County
2011,February,Lewis County,Yes,1738,1614,124,7.1,No,16061,-116.40541,46.26648,2011-February-Lewis County
2011,February,Lincoln County,Yes,2564,2239,324,12.6,No,16063,-114.16944,43.04964,2011-February-Lincoln County
2011,February,Madison County,Yes,16670,15460,1209,7.2,No,16065,-111.55837,43.75083,2011-February-Madison County
2011,February,Minidoka County,Yes,10333,9486,847,8.1,No,16067,-113.58081,42.841,2011-February-Minidoka County
2011,February,Nez Perce County,Yes,18761,17292,1468,7.8,No,16069,-116.62288,46.41818,2011-February-Nez Perce County
2011,February,Oneida County,Yes,2348,2208,140,5.9,No,16071,-112.52451,42.20598,2011-February-Oneida County
2011,February,Owyhee County,Yes,4363,4104,259,5.9,No,16073,-116.06229,42.68274,2011-February-Owyhee County
2011,February,Payette County,Yes,10836,9735,1100,10.1,No,16075,-116.72054,44.02052,2011-February-Payette County
2011,February,Pocatello,Yes,27525,25316,2208,8,No,,,,2011-February-Pocatello
2011,February,Power County,Yes,3672,3241,430,11.7,No,16077,-112.76845,42.75285,2011-February-Power County
2011,February,Shoshone County,Yes,5773,4896,877,15.1,No,16079,-115.91047,47.17469,2011-February-Shoshone County
2011,February,Teton County,Yes,5497,5094,402,7.3,No,16081,-111.19176,43.78458,2011-February-Teton County
2011,February,Twin Falls,Yes,21517,19616,1901,8.8,No,,,,2011-February-Twin Falls
2011,February,Twin Falls County,Yes,38578,35178,3400,8.8,No,16083,-114.67589,42.33525,2011-February-Twin Falls County
2011,February,United States,Yes,153246000,139573000,13673000,8.9,No,,,,2011-February-United States
2011,February,Valley County,Yes,4630,3864,766,16.5,No,16085,-115.79264,44.92047,2011-February-Valley County
2011,February,Washington County,Yes,4728,4202,526,11.1,No,16087,-116.75486,44.36587,2011-February-Washington County
2011,January,Ada County,Yes,194692,176463,18228,9.3,No,16001,-116.24203,43.47877,2011-January-Ada County
2011,January,Adams County,Yes,1982,1651,331,16.7,No,16003,-116.49161,44.98826,2011-January-Adams County
2011,January,Bannock County,Yes,39794,36211,3582,9,No,16005,-112.14302,42.58364,2011-January-Bannock County
2011,January,Bear Lake County,Yes,3191,2993,197,6.1,No,16007,-111.2845,42.22822,2011-January-Bear Lake County
2011,January,Benewah County,Yes,4253,3608,644,15.1,No,16009,-116.64994,47.24378,2011-January-Benewah County
2011,January,Bingham County,Yes,23084,21232,1851,8,No,16011,-112.36241,43.21123,2011-January-Bingham County
2011,January,Blaine County,Yes,12448,11094,1353,10.8,No,16013,-113.96644,43.47434,2011-January-Blaine County
2011,January,Boise City,Yes,106931,97953,8978,8.3,No,,,,2011-January-Boise City
2011,January,Boise County,Yes,3419,3061,358,10.4,No,16015,-115.85631,43.96048,2011-January-Boise County
2011,January,Bonner County,Yes,19970,17324,2645,13.2,No,16017,-116.59315,48.27518,2011-January-Bonner County
2011,January,Bonneville County,Yes,51172,47274,3897,7.6,No,16019,-111.54553,43.45087,2011-January-Bonneville County
2011,January,Boundary County,Yes,4599,3906,693,15,No,16021,-116.56271,48.79876,2011-January-Boundary County
2011,January,Butte County,Yes,1512,1404,107,7.1,No,16023,-113.18414,43.64482,2011-January-Butte County
2011,January,Caldwell,Yes,18842,16759,2083,11,No,,,,2011-January-Caldwell
2011,January,Camas County,Yes,545,488,57,10.5,No,16025,-114.82437,43.50937,2011-January-Camas County
2011,January,Canyon County,Yes,84118,74389,9728,11.5,No,16027,-116.68654,43.67796,2011-January-Canyon County
2011,January,Caribou County,Yes,3930,3614,315,8,No,16029,-111.66607,42.75387,2011-January-Caribou County
2011,January,Cassia County,Yes,11069,10260,808,7.3,No,16031,-113.57285,42.35804,2011-January-Cassia County
2011,January,Clark County,Yes,555,503,51,9.3,No,16033,-112.37555,44.19756,2011-January-Clark County
2011,January,Clearwater County,Yes,3320,2786,533,16,No,16035,-115.56204,46.67757,2011-January-Clearwater County
2011,January,Custer County,Yes,2565,2372,192,7.4,No,16037,-114.26143,44.33319,2011-January-Custer County
2011,January,Elmore County,Yes,11317,10234,1082,9.5,No,16039,-115.52645,43.11543,2011-January-Elmore County
2011,January,Franklin County,Yes,5748,5350,397,6.9,No,16041,-111.76147,42.21003,2011-January-Franklin County
2011,January,Fremont County,Yes,5882,5328,553,9.4,No,16043,-111.479,44.22427,2011-January-Fremont County
2011,January,Gem County,Yes,6968,6118,850,12.1,No,16045,-116.35892,44.03249,2011-January-Gem County
2011,January,Gooding County,Yes,8981,8359,621,6.9,No,16047,-114.74943,42.91806,2011-January-Gooding County
2011,January,Idaho,Yes,759558,685801,73757,9.7,No,,,,2011-January-Idaho
2011,January,Idaho County,Yes,7318,6376,941,12.8,No,16049,-115.72374,45.90195,2011-January-Idaho County
2011,January,Jefferson County,Yes,11664,10719,944,8,No,16051,-112.24937,43.76409,2011-January-Jefferson County
2011,January,Jerome County,Yes,10297,9371,925,8.9,No,16053,-114.32879,42.71282,2011-January-Jerome County
2011,January,Kootenai County,Yes,72928,65082,7846,10.7,No,16055,-116.62221,47.75684,2011-January-Kootenai County
2011,January,Latah County,Yes,18196,16651,1545,8.4,No,16057,-116.67642,46.73604,2011-January-Latah County
2011,January,Lemhi County,Yes,3784,3367,417,11,No,16059,-113.92306,45.03646,2011-January-Lemhi County
2011,January,Lewis County,Yes,1738,1618,119,6.8,No,16061,-116.40541,46.26648,2011-January-Lewis County
2011,January,Lincoln County,Yes,2563,2233,330,12.8,No,16063,-114.16944,43.04964,2011-January-Lincoln County
2011,January,Madison County,Yes,16788,15303,1484,8.8,No,16065,-111.55837,43.75083,2011-January-Madison County
2011,January,Minidoka County,Yes,10390,9498,892,8.5,No,16067,-113.58081,42.841,2011-January-Minidoka County
2011,January,Nez Perce County,Yes,18672,17209,1462,7.8,No,16069,-116.62288,46.41818,2011-January-Nez Perce County
2011,January,Oneida County,Yes,2341,2201,140,5.9,No,16071,-112.52451,42.20598,2011-January-Oneida County
2011,January,Owyhee County,Yes,4361,4103,257,5.9,No,16073,-116.06229,42.68274,2011-January-Owyhee County
2011,January,Payette County,Yes,10875,9779,1095,10,No,16075,-116.72054,44.02052,2011-January-Payette County
2011,January,Pocatello,Yes,27175,25023,2151,7.9,No,,,,2011-January-Pocatello
2011,January,Power County,Yes,3596,3190,406,11.2,No,16077,-112.76845,42.75285,2011-January-Power County
2011,January,Shoshone County,Yes,5706,4811,895,15.6,No,16079,-115.91047,47.17469,2011-January-Shoshone County
2011,January,Teton County,Yes,5486,5066,419,7.6,No,16081,-111.19176,43.78458,2011-January-Teton County
2011,January,Twin Falls,Yes,21248,19460,1787,8.4,No,,,,2011-January-Twin Falls
2011,January,Twin Falls County,Yes,38389,35087,3302,8.6,No,16083,-114.67589,42.33525,2011-January-Twin Falls County
2011,January,United States,Yes,153186000,139323000,13863000,9,No,,,,2011-January-United States
2011,January,Valley County,Yes,4648,3901,746,16,No,16085,-115.79264,44.92047,2011-January-Valley County
2011,January,Washington County,Yes,4687,4189,497,10.6,No,16087,-116.75486,44.36587,2011-January-Washington County
2011,July,Ada County,Yes,196110,180345,15764,8,No,16001,-116.24203,43.47877,2011-July-Ada County
2011,July,Adams County,Yes,2080,1737,343,16.4,No,16003,-116.49161,44.98826,2011-July-Adams County
2011,July,Bannock County,Yes,39768,36466,3301,8.3,No,16005,-112.14302,42.58364,2011-July-Bannock County
2011,July,Bear Lake County,Yes,3336,3140,196,5.8,No,16007,-111.2845,42.22822,2011-July-Bear Lake County
2011,July,Benewah County,Yes,4269,3633,636,14.8,No,16009,-116.64994,47.24378,2011-July-Benewah County
2011,July,Bingham County,Yes,23219,21293,1926,8.2,No,16011,-112.36241,43.21123,2011-July-Bingham County
2011,July,Blaine County,Yes,12617,11499,1118,8.8,No,16013,-113.96644,43.47434,2011-July-Blaine County
2011,July,Boise City,Yes,108665,99987,8677,7.9,No,,,,2011-July-Boise City
2011,July,Boise County,Yes,3434,3098,336,9.7,No,16015,-115.85631,43.96048,2011-July-Boise County
2011,July,Bonner County,Yes,20016,17157,2859,14.2,No,16017,-116.59315,48.27518,2011-July-Bonner County
2011,July,Bonneville County,Yes,50579,46831,3748,7.4,No,16019,-111.54553,43.45087,2011-July-Bonneville County
2011,July,Boundary County,Yes,4974,4216,758,15.2,No,16021,-116.56271,48.79876,2011-July-Boundary County
2011,July,Butte County,Yes,1497,1389,108,7.2,No,16023,-113.18414,43.64482,2011-July-Butte County
2011,July,Caldwell,Yes,19973,17180,2792,13.9,No,,,,2011-July-Caldwell
2011,July,Camas County,Yes,598,502,96,16,No,16025,-114.82437,43.50937,2011-July-Camas County
2011,July,Canyon County,Yes,86584,76170,10414,12,No,16027,-116.68654,43.67796,2011-July-Canyon County
2011,July,Caribou County,Yes,3878,3561,316,8.1,No,16029,-111.66607,42.75387,2011-July-Caribou County
2011,July,Cassia County,Yes,11076,10288,787,7.1,No,16031,-113.57285,42.35804,2011-July-Cassia County
2011,July,Clark County,Yes,549,494,55,10,No,16033,-112.37555,44.19756,2011-July-Clark County
2011,July,Clearwater County,Yes,3216,2684,532,16.5,No,16035,-115.56204,46.67757,2011-July-Clearwater County
2011,July,Custer County,Yes,2484,2282,201,8.1,No,16037,-114.26143,44.33319,2011-July-Custer County
2011,July,Elmore County,Yes,11263,10124,1138,10.1,No,16039,-115.52645,43.11543,2011-July-Elmore County
2011,July,Franklin County,Yes,6027,5680,346,5.7,No,16041,-111.76147,42.21003,2011-July-Franklin County
2011,July,Fremont County,Yes,5715,5227,488,8.5,No,16043,-111.479,44.22427,2011-July-Fremont County
2011,July,Gem County,Yes,7093,6206,887,12.5,No,16045,-116.35892,44.03249,2011-July-Gem County
2011,July,Gooding County,Yes,9032,8418,613,6.7,No,16047,-114.74943,42.91806,2011-July-Gooding County
2011,July,Idaho,Yes,761390,690143,71247,9.3,No,,,,2011-July-Idaho
2011,July,Idaho County,Yes,7261,6392,868,11.9,No,16049,-115.72374,45.90195,2011-July-Idaho County
2011,July,Jefferson County,Yes,11567,10686,881,7.6,No,16051,-112.24937,43.76409,2011-July-Jefferson County
2011,July,Jerome County,Yes,10439,9611,828,7.9,No,16053,-114.32879,42.71282,2011-July-Jerome County
2011,July,Kootenai County,Yes,69794,61554,8239,11.8,No,16055,-116.62221,47.75684,2011-July-Kootenai County
2011,July,Latah County,Yes,18188,16785,1402,7.7,No,16057,-116.67642,46.73604,2011-July-Latah County
2011,July,Lemhi County,Yes,3667,3247,420,11.4,No,16059,-113.92306,45.03646,2011-July-Lemhi County
2011,July,Lewis County,Yes,1756,1632,124,7,No,16061,-116.40541,46.26648,2011-July-Lewis County
2011,July,Lincoln County,Yes,2547,2191,355,13.9,No,16063,-114.16944,43.04964,2011-July-Lincoln County
2011,July,Madison County,Yes,16739,15599,1140,6.8,No,16065,-111.55837,43.75083,2011-July-Madison County
2011,July,Minidoka County,Yes,10470,9674,795,7.5,No,16067,-113.58081,42.841,2011-July-Minidoka County
2011,July,Nez Perce County,Yes,18424,17091,1332,7.2,No,16069,-116.62288,46.41818,2011-July-Nez Perce County
2011,July,Oneida County,Yes,2278,2151,126,5.5,No,16071,-112.52451,42.20598,2011-July-Oneida County
2011,July,Owyhee County,Yes,4385,4160,225,5.1,No,16073,-116.06229,42.68274,2011-July-Owyhee County
2011,July,Payette County,Yes,11126,9863,1262,11.3,No,16075,-116.72054,44.02052,2011-July-Payette County
2011,July,Pocatello,Yes,27823,25611,2212,7.9,No,,,,2011-July-Pocatello
2011,July,Power County,Yes,3588,3185,402,11.2,No,16077,-112.76845,42.75285,2011-July-Power County
2011,July,Shoshone County,Yes,6081,5123,957,15.7,No,16079,-115.91047,47.17469,2011-July-Shoshone County
2011,July,Teton County,Yes,5209,4814,395,7.5,No,16081,-111.19176,43.78458,2011-July-Teton County
2011,July,Twin Falls,Yes,22112,20153,1959,8.8,No,,,,2011-July-Twin Falls
2011,July,Twin Falls County,Yes,39185,35956,3229,8.2,No,16083,-114.67589,42.33525,2011-July-Twin Falls County
2011,July,United States,Yes,153228000,139296000,13931000,9.1,No,,,,2011-July-United States
2011,July,Valley County,Yes,4428,3694,734,16.5,No,16085,-115.79264,44.92047,2011-July-Valley County
2011,July,Washington County,Yes,4824,4276,548,11.3,No,16087,-116.75486,44.36587,2011-July-Washington County
2011,June,Ada County,Yes,196323,179774,16549,8.4,No,16001,-116.24203,43.47877,2011-June-Ada County
2011,June,Adams County,Yes,1999,1675,323,16.1,No,16003,-116.49161,44.98826,2011-June-Adams County
2011,June,Bannock County,Yes,39719,36308,3411,8.5,No,16005,-112.14302,42.58364,2011-June-Bannock County
2011,June,Bear Lake County,Yes,3336,3132,204,6.1,No,16007,-111.2845,42.22822,2011-June-Bear Lake County
2011,June,Benewah County,Yes,4282,3656,626,14.6,No,16009,-116.64994,47.24378,2011-June-Benewah County
2011,June,Bingham County,Yes,23455,21532,1922,8.1,No,16011,-112.36241,43.21123,2011-June-Bingham County
2011,June,Blaine County,Yes,12776,11638,1138,8.9,No,16013,-113.96644,43.47434,2011-June-Blaine County
2011,June,Boise City,Yes,108380,98881,9499,8.7,No,,,,2011-June-Boise City
2011,June,Boise County,Yes,3399,3097,302,8.8,No,16015,-115.85631,43.96048,2011-June-Boise County
2011,June,Bonner County,Yes,19940,17266,2674,13.4,No,16017,-116.59315,48.27518,2011-June-Bonner County
2011,June,Bonneville County,Yes,51242,47543,3699,7.2,No,16019,-111.54553,43.45087,2011-June-Bonneville County
